Date,EUR/JPY,USD/NOK,USD/ZAR,RUB/USD,NOK/SEK,NZD/JPY,AUD/NZD,EUR/USD,GBP/JPY,GBP/CHF,GBP/USD,USD/AUD
25/08/2000,96.4,8.9781,6.92,0.0361,1.0373,46.63,1.3157,0.9075,157.05,2.5115,1.4695,0.5742
28/08/2000,95.83,8.96,6.945,0.0360,1.0453,46.24,1.3169,0.9048,156.45,2.5183,1.469,0.5714
29/08/2000,94.63,9.0474,6.96,0.0360,1.0432,45.45,1.3301,0.8972,154.43,2.524,1.4562,0.5703
30/08/2000,95.31,9.0284,6.9587,0.0360,1.0451,45.91,1.3369,0.8974,155.49,2.5236,1.4596,0.5749
31/08/2000,94.77,9.0751,6.978,0.0360,1.0384,45.59,1.3501,0.8924,154.42,2.5209,1.4478,0.5776
01/09/2000,95.38,9.0043,6.948,0.0360,1.0341,45.58,1.3407,0.9044,155.19,2.5251,1.4641,0.5769
05/09/2000,94.13,9.0605,7.0215,0.0359,1.0433,45.11,1.3358,0.8934,153.95,2.5389,1.4549,0.5694
06/09/2000,92.11,9.2105,7.0933,0.0359,1.0447,44.97,1.3264,0.8747,152.19,2.5559,1.4367,0.5653
07/09/2000,91.69,9.2125,7.095,0.0359,1.0385,43.96,1.3369,0.8779,151.14,2.5543,1.4377,0.559
08/09/2000,91.93,9.2633,7.0975,0.0359,1.0414,44.44,1.3269,0.8737,150.07,2.5234,1.414,0.5569
11/09/2000,90.97,9.3115,7.125,0.0359,1.0477,45.44,1.3084,0.8627,148.66,2.4878,1.4019,0.5611
12/09/2000,92.25,9.2967,7.14,0.0359,1.0458,45.47,1.311,0.8668,150.32,2.4837,1.4073,0.5588
13/09/2000,92.09,9.3529,7.1175,0.0359,1.0474,45.16,1.3149,0.8654,151.05,2.4973,1.4096,0.5556
14/09/2000,93.04,9.2922,7.135,0.0360,1.046,45.25,1.306,0.8687,151.4,2.4919,1.4069,0.5501
15/09/2000,91.44,9.3885,7.195,0.0360,1.0465,44.61,1.3081,0.8596,149.7,2.4966,1.3967,0.5459
18/09/2000,91.26,9.3685,7.29,0.0360,1.0482,43.8,1.3209,0.8578,150.31,2.5074,1.4061,0.5435
19/09/2000,91.09,9.4081,7.275,0.0359,1.0462,44.38,1.3135,0.8588,150.82,2.504,1.4097,0.5435
20/09/2000,90.56,9.3946,7.3375,0.0358,1.0503,43.41,1.3217,0.8551,150.34,2.5068,1.4113,0.5376
21/09/2000,91.85,9.2853,7.315,0.0360,1.0513,43.59,1.3312,0.8654,153.32,2.5336,1.4383,0.5436
22/09/2000,94.65,9.2116,7.2425,0.0359,1.0506,44.4,1.3234,0.8862,156.8,2.5183,1.4529,0.5436
25/09/2000,94.33,9.1745,7.2525,0.0358,1.0543,44.48,1.3308,0.8799,156.57,2.5202,1.4528,0.5497
26/09/2000,94.97,9.0954,7.195,0.0359,1.0574,44.52,1.3253,0.8893,157.46,2.525,1.4639,0.5501
27/09/2000,94.84,9.1235,7.2425,0.0360,1.0593,44.8,1.3207,0.8905,157.19,2.5255,1.4643,0.5518
28/09/2000,94.69,9.1125,7.3075,0.0360,1.0662,44.16,1.3281,0.8887,157.39,2.5373,1.4625,0.5488
29/09/2000,95.55,9.0575,7.235,0.0360,1.0648,44.05,1.3317,0.889,159.62,2.5465,1.4763,0.5431
02/10/2000,95.53,9.1791,7.22,0.0360,1.0611,44.27,1.3434,0.8853,159.63,2.546,1.4663,0.5467
03/10/2000,95.34,9.1731,7.22,0.0360,1.0673,43.89,1.3406,0.8809,158.87,2.5283,1.4595,0.5401
04/10/2000,95.69,9.1655,7.23,0.0359,1.0654,44.31,1.327,0.8814,159.42,2.5314,1.4587,0.5376
05/10/2000,94.84,9.2475,7.285,0.0359,1.0611,43.79,1.3285,0.8757,157.51,2.5278,1.4434,0.5356
06/10/2000,94.5,9.2445,7.2925,0.0358,1.0653,43.67,1.3302,0.8744,157.39,2.5297,1.4459,0.5344
10/10/2000,93.93,9.2375,7.3625,0.0358,1.0697,43.59,1.3203,0.8778,156.81,2.5375,1.4551,0.5332
11/10/2000,93.12,9.3565,7.4,0.0359,1.0641,43.59,1.3176,0.8751,157.59,2.5512,1.4621,0.5341
12/10/2000,92.9,9.3103,7.475,0.0358,1.069,42.73,1.3358,0.869,158.44,2.564,1.4713,0.5328
13/10/2000,92.3,9.4005,7.4725,0.0359,1.0583,42.98,1.3259,0.8598,156.44,2.5678,1.4505,0.5295
16/10/2000,91.83,9.4325,7.5725,0.0359,1.0593,42.73,1.3217,0.8554,156.44,2.5694,1.4477,0.5233
17/10/2000,92.25,9.4241,7.555,0.0359,1.0586,42.56,1.3205,0.8612,156.64,2.5645,1.4503,0.5218
18/10/2000,90.4,9.5545,7.71,0.0358,1.0608,42.42,1.322,0.8438,155.52,2.5799,1.4437,0.5204
19/10/2000,91.41,9.4819,7.6675,0.0358,1.06,42.87,1.3188,0.8489,156.79,2.5842,1.4465,0.5226
20/10/2000,91.66,9.4665,7.585,0.0358,1.0664,43.7,1.318,0.8473,158,2.5861,1.4515,0.5282
23/10/2000,90.44,9.5118,7.5925,0.0358,1.0663,43.34,1.3152,0.8407,157.36,2.611,1.4541,0.5256
24/10/2000,90.07,9.5255,7.612,0.0358,1.0632,43.33,1.3041,0.8422,156.24,2.6029,1.4499,0.5261
25/10/2000,89.53,9.5818,7.68,0.0358,1.0706,43.2,1.3029,0.8326,154.97,2.6079,1.432,0.5197
26/10/2000,90.02,9.5497,7.67,0.0358,1.0735,43.52,1.2986,0.8339,155.65,2.6166,1.4364,0.521
27/10/2000,91.23,9.445,7.6,0.0359,1.0724,43.8,1.299,0.8447,158.13,2.6277,1.4552,0.5241
30/10/2000,91.56,9.4001,7.5675,0.0359,1.0757,43.86,1.3007,0.8473,158.02,2.6239,1.4499,0.525
31/10/2000,92.53,9.2898,7.56,0.0359,1.0745,43.23,1.3081,0.8539,157.82,2.6044,1.4483,0.5226
01/11/2000,93.16,9.1757,7.4825,0.0359,1.0713,42.91,1.3202,0.8658,157.03,2.5746,1.4514,0.5236
02/11/2000,92.94,9.2311,7.5187,0.0359,1.0713,43.09,1.3048,0.8652,156.37,2.5688,1.4463,0.5215
03/11/2000,92.75,9.1992,7.5375,0.0359,1.0716,42.68,1.3228,0.87,155.07,2.5426,1.4487,0.5258
06/11/2000,92.53,9.2475,7.5625,0.0359,1.077,42.66,1.3268,0.8654,153.33,2.5215,1.4272,0.5275
